,count,mean,std,min,25%,50%,75%,max
100,74,-18965.2973,1926.4243,-22060.0,-20544.0,-19184.0,-17671.0,-14632.0
101,74,-18877.6216,1922.8113,-21960.0,-20508.0,-19012.0,-17371.0,-14632.0
102,74,-18788.9189,1937.1686,-21960.0,-20461.0,-18990.0,-17296.0,-14632.0
103,74,-18708.6486,1939.7109,-21960.0,-20368.0,-18918.0,-17296.0,-14632.0
104,75,-18554.56,1946.7417,-21684.0,-20232.0,-18896.0,-16868.0,-14632.0
105,75,-18437.8667,1934.3663,-21684.0,-20144.0,-18504.0,-16784.0,-14632.0
106,75,-18330.0267,1930.7439,-21684.0,-20078.0,-18296.0,-16784.0,-14632.0
107,75,-18240.5867,1894.4777,-21308.0,-20044.0,-18296.0,-16784.0,-14632.0
108,75,-18159.52,1898.7453,-21308.0,-20028.0,-18296.0,-16784.0,-14632.0
109,75,-18047.7867,1922.9723,-21308.0,-19984.0,-18028.0,-16446.0,-14632.0
110,75,-17946.1867,1932.5019,-21040.0,-19822.0,-18028.0,-15936.0,-14632.0
111,75,-17843.3067,1890.205,-21016.0,-19440.0,-17996.0,-15936.0,-14632.0
112,75,-17737.6533,1875.5683,-20664.0,-19434.0,-17996.0,-15870.0,-14632.0
113,75,-17634.24,1898.9055,-20664.0,-19140.0,-17852.0,-15714.0,-14632.0
114,75,-17534.5067,1898.7414,-20340.0,-19090.0,-17852.0,-15564.0,-14632.0
115,75,-17456.7467,1886.3474,-20340.0,-19012.0,-17620.0,-15564.0,-14632.0
116,75,-17369.3333,1857.3058,-20340.0,-18712.0,-17596.0,-15564.0,-14632.0
117,75,-17257.7067,1867.5857,-20340.0,-18656.0,-17252.0,-15564.0,-14620.0
118,75,-17173.8133,1902.1929,-20340.0,-18656.0,-17252.0,-15564.0,-14008.0
119,75,-17074.4533,1882.2629,-20340.0,-18628.0,-17008.0,-15564.0,-14008.0
120,75,-16967.4667,1863.9521,-20340.0,-18296.0,-17008.0,-15430.0,-13920.0
121,75,-16883.68,1842.0854,-20228.0,-18296.0,-16996.0,-15330.0,-13920.0
122,75,-16782.0267,1844.1555,-20228.0,-18240.0,-16996.0,-15192.0,-13920.0
123,75,-16684.2133,1870.4306,-20128.0,-18168.0,-16996.0,-14842.0,-13864.0
124,75,-16593.8667,1894.7167,-20128.0,-18168.0,-16796.0,-14708.0,-13588.0
125,75,-16483.3067,1920.4589,-20128.0,-18130.0,-16608.0,-14648.0,-13588.0
126,75,-16388.2667,1974.8134,-20128.0,-18108.0,-16608.0,-14620.0,-13132.0
127,75,-16287.84,1959.1817,-20064.0,-18058.0,-16596.0,-14564.0,-13132.0
128,75,-16180.7467,1998.7206,-20064.0,-17852.0,-16340.0,-14098.0,-13132.0
129,75,-16085.0667,1999.7742,-20064.0,-17580.0,-16296.0,-14026.0,-13132.0
130,75,-15962.6133,2006.6459,-20064.0,-17496.0,-15608.0,-13954.0,-13032.0
131,75,-15868.16,1986.2163,-20040.0,-17480.0,-15608.0,-13920.0,-13032.0
132,75,-15781.1733,1993.168,-20040.0,-17296.0,-15564.0,-13832.0,-13032.0
133,75,-15657.76,1983.152,-20040.0,-17224.0,-15564.0,-13748.0,-13032.0
134,75,-15549.6,1942.7502,-19940.0,-16914.0,-15564.0,-13626.0,-13032.0
135,75,-15468.0,1929.3903,-19032.0,-16914.0,-15564.0,-13620.0,-13032.0
136,75,-15391.68,1905.3044,-19032.0,-16802.0,-15564.0,-13582.0,-13032.0
137,75,-15308.7467,1909.5556,-19032.0,-16730.0,-15308.0,-13470.0,-12976.0
138,75,-15204.3733,1926.3614,-19032.0,-16680.0,-15308.0,-13198.0,-12876.0
139,76,-15178.7895,1993.8941,-19220.0,-16713.0,-15308.0,-13129.0,-12876.0
140,76,-15089.0526,1985.2746,-19220.0,-16672.0,-15264.0,-13064.0,-12876.0
141,76,-14991.1053,1894.0379,-18932.0,-16613.0,-15058.0,-13064.0,-12876.0
142,76,-14916.0,1905.4899,-18932.0,-16596.0,-14930.0,-13032.0,-12820.0
143,76,-14820.3158,1870.1274,-18932.0,-16456.0,-14902.0,-13032.0,-12820.0
144,76,-14719.0,1807.8301,-18920.0,-16270.0,-14508.0,-12976.0,-12820.0
145,76,-14625.0,1743.9034,-18332.0,-16228.0,-14508.0,-12976.0,-12820.0
146,76,-14535.2632,1724.4381,-18332.0,-16069.0,-14402.0,-12942.0,-12820.0
147,76,-14441.3684,1660.2325,-18008.0,-15722.0,-14308.0,-12876.0,-12820.0
148,76,-14350.6316,1611.6225,-18008.0,-15575.0,-14224.0,-12876.0,-12820.0
149,76,-14282.4737,1563.9671,-17744.0,-15575.0,-14052.0,-12876.0,-12820.0
150,76,-14214.5789,1496.153,-17508.0,-15172.0,-13958.0,-12876.0,-12820.0
151,76,-14119.3684,1408.5956,-17320.0,-15108.0,-13908.0,-12876.0,-12820.0
152,76,-14041.1579,1362.6271,-17320.0,-15108.0,-13880.0,-12876.0,-12820.0
153,76,-13967.2632,1310.9249,-17320.0,-14733.0,-13880.0,-12876.0,-12820.0
154,76,-13906.5789,1271.3454,-16964.0,-14360.0,-13852.0,-12876.0,-12820.0
155,76,-13837.7368,1181.65,-16664.0,-14360.0,-13720.0,-12876.0,-12820.0
156,76,-13750.0526,1164.166,-16508.0,-14055.0,-13004.0,-12862.0,-12820.0
157,76,-13665.0,1110.3074,-16508.0,-13908.0,-12876.0,-12820.0,-12720.0
158,76,-13568.5789,1066.5537,-16508.0,-13908.0,-12876.0,-12820.0,-12720.0
159,76,-13476.5263,996.376,-16308.0,-13864.0,-12876.0,-12820.0,-12720.0
160,76,-13404.3158,938.6283,-16220.0,-13756.0,-12876.0,-12820.0,-12720.0
161,76,-13302.4737,869.2119,-16208.0,-13667.0,-12876.0,-12820.0,-12664.0
162,76,-13216.8947,785.3924,-16108.0,-13314.0,-12876.0,-12820.0,-12652.0
163,76,-13116.1053,727.886,-16108.0,-13033.0,-12820.0,-12820.0,-12652.0
164,76,-13053.9474,733.8846,-16108.0,-12876.0,-12820.0,-12776.0,-12576.0
165,76,-12997.6842,734.6896,-16108.0,-12876.0,-12820.0,-12720.0,-12476.0
166,76,-12942.4211,749.0587,-16108.0,-12828.0,-12820.0,-12652.0,-12464.0
167,76,-12899.0526,765.0766,-16108.0,-12820.0,-12714.0,-12564.0,-12308.0
168,76,-12845.0,783.5158,-16108.0,-12820.0,-12652.0,-12476.0,-12308.0
169,76,-12804.9474,796.1432,-16108.0,-12820.0,-12570.0,-12453.0,-12308.0
170,76,-12771.6316,805.7726,-16108.0,-12820.0,-12564.0,-12408.0,-12308.0
171,76,-12739.1579,814.6382,-16108.0,-12655.0,-12476.0,-12408.0,-12264.0
172,76,-12696.9474,826.3056,-16108.0,-12564.0,-12420.0,-12364.0,-12220.0
173,76,-12663.1053,832.6581,-16108.0,-12476.0,-12408.0,-12364.0,-12220.0
174,76,-12633.4211,841.9712,-16108.0,-12464.0,-12376.0,-12308.0,-12220.0
175,76,-12591.6316,846.7775,-16108.0,-12420.0,-12364.0,-12308.0,-12220.0
176,76,-12571.3158,850.9131,-16108.0,-12420.0,-12320.0,-12264.0,-12220.0
177,76,-12556.5789,855.2889,-16108.0,-12375.0,-12308.0,-12220.0,-12164.0
178,67,-28693.2537,1190.8136,-31592.0,-29414.0,-28824.0,-27812.0,-25544.0
179,68,-28065.6471,4480.8449,-31592.0,-29301.0,-28726.0,-27777.0,7172.0
180,68,-27960.5294,4467.4113,-31132.0,-29217.0,-28582.0,-27726.0,7172.0
181,68,-27854.5294,4444.6859,-31032.0,-29183.0,-28504.0,-27587.0,7172.0
182,68,-27752.6471,4425.2748,-29812.0,-29130.0,-28452.0,-27469.0,7172.0
183,68,-27652.5882,4424.3135,-29736.0,-29077.0,-28452.0,-27183.0,7172.0
184,68,-27578.8235,4413.1085,-29736.0,-29018.0,-28424.0,-27183.0,7172.0
185,68,-27481.1765,4401.8372,-29736.0,-28935.0,-28250.0,-27160.0,7172.0
186,68,-27375.2353,4403.6922,-29668.0,-28935.0,-28048.0,-27029.0,7172.0
187,68,-27275.1176,4386.4411,-29460.0,-28734.0,-27916.0,-26874.0,7172.0
188,68,-27161.3529,4369.3516,-29460.0,-28535.0,-27736.0,-26846.0,7172.0
189,68,-27062.4706,4355.9353,-29280.0,-28488.0,-27718.0,-26717.0,7172.0
190,68,-26960.5294,4338.5896,-29280.0,-28355.0,-27552.0,-26604.0,7172.0
191,68,-26873.4118,4327.5393,-29280.0,-28192.0,-27552.0,-26561.0,7172.0
192,68,-26806.4706,4324.1971,-29236.0,-28192.0,-27552.0,-26525.0,7172.0
193,68,-26737.6471,4316.4312,-29236.0,-28065.0,-27538.0,-26515.0,7172.0
194,68,-26645.8235,4298.1849,-28948.0,-27977.0,-27258.0,-26493.0,7172.0
195,68,-26549.0588,4307.077,-28948.0,-27959.0,-27142.0,-26306.0,7172.0
196,68,-26480.9412,4316.277,-28832.0,-27959.0,-27118.0,-26306.0,7172.0
197,68,-26370.8824,4304.052,-28832.0,-27769.0,-26970.0,-25920.0,7172.0
198,68,-26311.7647,4305.0664,-28832.0,-27753.0,-26970.0,-25763.0,7172.0
199,68,-26207.0588,4304.8739,-28832.0,-27712.0,-26848.0,-25692.0,7172.0
200,68,-26117.1765,4296.0465,-28648.0,-27673.0,-26844.0,-25505.0,7172.0
201,68,-26046.7647,4282.5219,-28564.0,-27573.0,-26722.0,-25468.0,7172.0
202,68,-25958.4118,4255.8998,-28428.0,-27478.0,-26664.0,-25468.0,7172.0
203,68,-25863.4118,4242.7784,-28428.0,-27342.0,-26620.0,-25263.0,7172.0
204,68,-25766.8824,4238.9013,-28380.0,-27094.0,-26540.0,-25237.0,7172.0
205,68,-25712.1765,4241.8675,-28300.0,-27064.0,-26526.0,-25161.0,7172.0
206,68,-25640.0588,4242.1722,-28136.0,-27031.0,-26454.0,-25116.0,7172.0
207,68,-25541.2353,4236.4141,-28124.0,-27031.0,-26098.0,-25077.0,7172.0
208,69,-25505.971,4210.9599,-28936.0,-26992.0,-26036.0,-25056.0,7172.0
209,69,-25411.8261,4186.8908,-28152.0,-26984.0,-25924.0,-25036.0,7172.0
210,69,-25321.1014,4190.254,-28060.0,-26948.0,-25836.0,-24904.0,7172.0
211,69,-25212.8696,4192.0213,-28060.0,-26940.0,-25792.0,-24280.0,7172.0
212,69,-25115.8841,4179.2693,-28060.0,-26848.0,-25700.0,-24184.0,7172.0
213,69,-25020.4058,4176.3753,-28060.0,-26748.0,-25480.0,-24184.0,7172.0
214,70,-24485.2571,5656.0687,-28060.0,-26743.0,-25432.0,-24052.0,7172.0
215,70,-24395.0857,5638.735,-28060.0,-26660.0,-25404.0,-23985.0,7172.0
216,70,-24295.8857,5612.8051,-27972.0,-26486.0,-25390.0,-23814.0,7172.0
217,70,-24227.2571,5588.1705,-27504.0,-26444.0,-25300.0,-23814.0,7172.0
218,70,-24119.8857,5560.1041,-27380.0,-25976.0,-25280.0,-23814.0,7172.0
219,70,-24000.1143,5551.4888,-27288.0,-25880.0,-25154.0,-23757.0,7172.0
220,70,-23888.4,5529.4363,-27288.0,-25687.0,-25004.0,-23748.0,7172.0
221,70,-23783.6571,5516.71,-27148.0,-25687.0,-24698.0,-23528.0,7172.0
222,70,-23675.4857,5495.092,-27004.0,-25578.0,-24698.0,-23402.0,7172.0
223,70,-23596.7429,5477.1476,-26672.0,-25429.0,-24600.0,-23402.0,7172.0
224,70,-23494.9143,5464.7587,-26672.0,-25393.0,-24442.0,-23336.0,7172.0
225,70,-23388.1714,5461.6102,-26672.0,-25369.0,-24348.0,-23324.0,7172.0
226,70,-23292.8,5434.7242,-26316.0,-25319.0,-24158.0,-23324.0,7172.0
227,70,-23173.7714,5428.3946,-26316.0,-25227.0,-23994.0,-23291.0,7172.0
228,70,-23082.5143,5418.7201,-26116.0,-25205.0,-23914.0,-23041.0,7172.0
229,70,-22992.8571,5402.4838,-26116.0,-24921.0,-23914.0,-22972.0,7172.0
230,70,-22895.9429,5394.0233,-25880.0,-24921.0,-23798.0,-22930.0,7172.0
231,70,-22807.2571,5376.0906,-25848.0,-24858.0,-23762.0,-22930.0,7172.0
232,70,-22721.0857,5366.5583,-25848.0,-24705.0,-23708.0,-22427.0,7172.0
233,70,-22616.4,5350.9211,-25848.0,-24640.0,-23542.0,-22418.0,7172.0
234,70,-22525.4286,5331.8328,-25648.0,-24514.0,-23514.0,-22374.0,7172.0
235,70,-22412.1714,5315.6121,-25648.0,-24212.0,-23492.0,-22371.0,7172.0
236,70,-22317.6571,5306.9323,-25648.0,-24110.0,-23324.0,-22168.0,7172.0
237,70,-22231.7714,5283.7258,-25648.0,-24110.0,-23278.0,-22096.0,7172.0
238,70,-22150.7429,5272.5217,-25648.0,-24083.0,-23126.0,-21977.0,7172.0
239,70,-22051.7714,5257.4819,-25536.0,-23966.0,-23092.0,-21888.0,7172.0
240,70,-21938.4,5235.2112,-25172.0,-23966.0,-22920.0,-21751.0,7172.0
241,70,-21860.6857,5224.0631,-25172.0,-23922.0,-22916.0,-21744.0,7172.0
242,70,-21773.3143,5220.2231,-24848.0,-23831.0,-22778.0,-21613.0,7172.0
243,70,-21678.9143,5214.5007,-24848.0,-23719.0,-22752.0,-21588.0,7172.0
244,70,-21593.2,5198.2378,-24848.0,-23658.0,-22718.0,-21432.0,7172.0
245,70,-21465.2571,5169.1023,-24748.0,-23371.0,-22718.0,-21025.0,7172.0
246,70,-21395.7143,5157.3861,-24748.0,-23352.0,-22478.0,-20907.0,7172.0
247,70,-21306.4571,5147.7002,-24672.0,-23299.0,-22288.0,-20768.0,7172.0
248,70,-21192.6286,5131.9492,-24672.0,-23290.0,-22188.0,-20730.0,7172.0
249,70,-21095.0286,5112.2941,-24348.0,-23060.0,-22188.0,-20622.0,7172.0
250,70,-21025.1429,5102.2666,-24028.0,-23044.0,-22188.0,-20452.0,7172.0
251,70,-20906.5714,5100.8444,-23992.0,-22988.0,-22188.0,-20349.0,7172.0
252,70,-20807.2571,5082.8335,-23992.0,-22946.0,-22010.0,-20211.0,7172.0
253,70,-20685.1429,5060.0857,-23884.0,-22881.0,-21772.0,-20069.0,7172.0
254,70,-20584.6286,5041.7531,-23792.0,-22693.0,-21772.0,-19946.0,7172.0
255,70,-20476.1143,5033.1439,-23792.0,-22684.0,-21704.0,-19916.0,7172.0
256,70,-20388.4571,5041.1927,-23772.0,-22667.0,-21704.0,-19898.0,7172.0
257,70,-20298.5714,5029.1698,-23704.0,-22579.0,-21084.0,-19838.0,7172.0
258,70,-20209.0286,5024.8802,-23704.0,-22483.0,-21084.0,-19575.0,7172.0
259,70,-20123.0857,5026.6455,-23704.0,-22483.0,-20934.0,-19575.0,7172.0
260,70,-20044.8,5008.3252,-22940.0,-22405.0,-20846.0,-19487.0,7172.0
261,70,-19959.8857,5005.5462,-22940.0,-22405.0,-20486.0,-19383.0,7172.0
262,70,-19856.2857,5009.1575,-22884.0,-22369.0,-20446.0,-19365.0,7172.0
263,70,-19760.5714,5002.1342,-22884.0,-22352.0,-20440.0,-18880.0,7172.0
264,70,-19631.6,5004.1528,-22884.0,-22352.0,-20408.0,-18838.0,7172.0
265,70,-19550.9143,5005.8415,-22884.0,-22352.0,-20272.0,-18838.0,7172.0
266,71,-19527.6056,5002.5885,-24352.0,-22366.0,-20252.0,-18538.0,7172.0
267,71,-19416.6197,5001.9748,-23740.0,-22282.0,-20252.0,-18298.0,7172.0
268,71,-19293.6901,4987.031,-23040.0,-21824.0,-20248.0,-18204.0,7172.0
269,71,-19162.9859,4980.1097,-23040.0,-21606.0,-20140.0,-18188.0,7172.0
270,71,-19061.1831,4975.2345,-22884.0,-21522.0,-20052.0,-18058.0,7172.0
271,71,-18967.3239,4971.7738,-22884.0,-21456.0,-19928.0,-17886.0,7172.0
272,71,-18877.5775,4968.1444,-22884.0,-21456.0,-19508.0,-17698.0,7172.0
273,71,-18804.6761,4969.0529,-22860.0,-21446.0,-19216.0,-17576.0,7172.0
274,71,-18691.493,4954.0049,-22804.0,-21412.0,-19152.0,-17466.0,7172.0
275,71,-18601.1268,4940.5216,-22804.0,-21364.0,-19020.0,-17444.0,7172.0
276,71,-18498.1408,4928.9232,-22804.0,-21224.0,-18908.0,-17332.0,7172.0
277,71,-18427.8873,4925.1141,-22804.0,-21132.0,-18888.0,-17254.0,7172.0
278,71,-18344.507,4911.1465,-22804.0,-21132.0,-18832.0,-17078.0,7172.0
279,71,-18252.1127,4889.9756,-22804.0,-20806.0,-18564.0,-16916.0,7172.0
280,71,-18157.7465,4880.356,-22704.0,-20700.0,-18264.0,-16916.0,7172.0
281,71,-18058.0282,4883.0648,-22704.0,-20696.0,-18184.0,-16898.0,7172.0
282,71,-17983.2676,4873.0007,-22704.0,-20608.0,-18088.0,-16798.0,7172.0
283,71,-17876.7887,4870.5558,-22704.0,-20608.0,-18064.0,-16614.0,7172.0
284,71,-17753.2958,4828.1597,-22616.0,-20430.0,-18064.0,-16542.0,7172.0
285,71,-17659.2113,4802.7837,-22616.0,-20380.0,-17920.0,-16488.0,7172.0
286,71,-17547.3803,4766.9202,-22484.0,-20320.0,-17776.0,-16488.0,7172.0
287,71,-17455.7746,4751.6534,-22384.0,-20046.0,-17652.0,-16308.0,7172.0
288,71,-17352.0563,4733.9383,-22384.0,-20046.0,-17564.0,-16188.0,7172.0
289,71,-17259.0986,4711.0906,-22384.0,-19978.0,-17476.0,-16182.0,7172.0
290,71,-17156.9014,4661.2857,-22384.0,-19908.0,-17476.0,-16164.0,7172.0
291,71,-17067.5493,4660.8554,-22028.0,-19746.0,-17476.0,-16042.0,7172.0
292,71,-16966.4789,4647.3149,-22028.0,-19746.0,-17408.0,-16008.0,7172.0
293,71,-16837.7465,4641.3933,-22028.0,-19746.0,-17096.0,-15932.0,7172.0
294,71,-16704.169,4647.0944,-22028.0,-19218.0,-17064.0,-15348.0,7172.0
295,71,-16585.5211,4620.0318,-22028.0,-19190.0,-16876.0,-15348.0,7172.0
296,71,-16452.3944,4596.3375,-22028.0,-18848.0,-16664.0,-15204.0,7172.0
297,71,-16367.9437,4582.2395,-22028.0,-18848.0,-16664.0,-15098.0,7172.0
298,71,-16257.1831,4550.3003,-22028.0,-18676.0,-16452.0,-15098.0,7172.0
299,71,-16139.7746,4557.7887,-22028.0,-18368.0,-16264.0,-15098.0,7172.0
