generation,continent,pool
20,0,-31280*1 -29032*1 -28852*1 -28800*1 -28780*1 -28732*1 -28668*1 -28624*2 -28604*1 -28540*1 -28460*1 -28364*2 -28356*1 -28232*1 -28208*1 -28184*1 -28108*1 -28044*1 -27976*1 -27932*1 -27920*1 -27792*1 -27736*1 -27704*1 -27336*1 -27292*1 -27280*2 -27240*1 -27180*1 -27176*1 -27168*1 -27132*1 -27036*1 -27024*1 -27012*1 -26996*1 -26968*1 -26860*1 -26856*1 -26812*1 -26776*1 -26704*1 -26612*2 -26468*1 -26424*1 -26336*1 -26200*1 -26176*1 -26072*1 -26036*2 -26032*1 -25920*1 -25812*1 -25652*1 -25392*1 -25192*6 -24572*1 -23828*1
21,0,-31280*1 -28852*1 -28780*1 -28732*1 -28624*2 -28604*1 -28588*1 -28540*1 -28536*1 -28364*2 -28332*1 -28256*1 -28232*1 -28184*1 -28044*1 -27996*1 -27932*1 -27832*1 -27792*1 -27780*1 -27748*1 -27736*1 -27704*1 -27336*1 -27292*1 -27280*2 -27248*1 -27240*1 -27180*1 -27176*1 -27168*1 -27132*1 -27036*1 -27024*1 -27012*1 -26996*1 -26968*1 -26856*1 -26832*1 -26812*1 -26776*1 -26704*1 -26612*2 -26468*1 -26424*1 -26336*1 -26200*1 -26176*1 -26032*1 -25920*1 -25812*1 -25732*1 -25652*1 -25416*1 -25400*1 -25392*1 -25192*5 -24636*1 -24572*1 -23828*1
22,0,-31016*1 -28812*1 -28780*1 -28624*2 -28604*1 -28588*1 -28536*1 -28412*1 -28364*2 -28344*1 -28332*1 -28256*1 -28232*1 -28184*1 -28044*1 -27996*1 -27932*1 -27832*1 -27748*1 -27620*1 -27372*1 -27336*1 -27292*1 -27280*1 -27248*1 -27240*1 -27232*1 -27212*1 -27180*1 -27176*1 -27168*1 -27132*1 -27036*1 -27024*1 -26996*1 -26968*1 -26864*1 -26856*1 -26836*1 -26832*1 -26812*1 -26704*1 -26612*2 -26424*1 -26336*1 -26332*1 -26200*1 -26176*1 -26076*1 -26032*1 -25920*1 -25812*1 -25732*1 -25652*1 -25416*1 -25400*1 -25392*1 -25192*5 -24636*1 -24572*1 -23828*1
23,0,-30220*1 -28812*1 -28648*1 -28624*2 -28588*1 -28364*2 -28344*2 -28256*1 -28232*1 -28184*1 -28064*1 -28044*1 -27996*1 -27748*1 -27744*1 -27620*1 -27380*1 -27372*1 -27336*1 -27292*1 -27248*1 -27240*2 -27232*1 -27212*1 -27180*1 -27176*1 -27168*1 -27132*1 -27076*1 -27036*1 -27024*1 -26980*1 -26968*1 -26864*1 -26856*1 -26836*1 -26832*1 -26812*1 -26704*1 -26676*1 -26612*2 -26424*1 -26336*1 -26332*1 -26200*1 -26176*1 -25948*1 -25920*1 -25812*1 -25748*1 -25732*1 -25652*1 -25416*1 -25400*1 -25392*1 -25192*4 -25144*1 -24636*1 -23828*2
24,0,-30088*1 -28812*1 -28648*1 -28624*2 -28556*1 -28364*1 -28344*2 -28256*1 -28232*1 -28184*1 -28064*1 -27768*1 -27744*1 -27728*1 -27620*1 -27336*1 -27308*1 -27252*1 -27248*1 -27240*2 -27232*1 -27212*1 -27180*1 -27176*1 -27136*1 -27132*1 -27096*1 -27076*1 -27068*1 -27036*1 -26980*1 -26968*1 -26864*1 -26856*1 -26836*1 -26832*1 -26812*1 -26704*1 -26676*1 -26612*2 -26468*1 -26424*1 -26336*1 -26332*1 -26312*1 -26200*1 -26176*1 -25948*1 -25920*1 -25812*1 -25748*1 -25732*1 -25652*1 -25416*1 -25400*1 -25392*1 -25192*3 -25144*1 -24700*1 -24068*1 -23828*2
25,0,-29312*1 -28736*1 -28464*1 -28408*1 -28344*1 -28272*1 -28256*1 -28232*1 -28184*1 -27916*1 -27784*1 -27780*2 -27768*1 -27744*1 -27728*1 -27620*1 -27308*1 -27252*1 -27248*1 -27240*2 -27232*1 -27212*1 -27180*1 -27176*1 -27136*1 -27132*1 -27096*1 -27036*1 -26980*2 -26968*1 -26836*1 -26832*1 -26812*1 -26704*1 -26676*1 -26612*1 -26548*1 -26464*1 -26388*1 -26336*1 -26332*1 -26328*1 -26312*1 -26200*2 -25948*1 -25920*1 -25812*1 -25748*1 -25732*1 -25708*1 -25660*1 -25652*1 -25416*1 -25400*1 -25392*1 -25192*3 -25144*1 -25096*1 -24700*1 -23828*2 -23584*1
26,0,-28736*1 -28464*1 -28408*1 -28392*1 -28344*1 -28272*1 -28256*1 -28184*1 -27916*1 -27780*1 -27768*1 -27744*1 -27728*1 -27660*1 -27620*1 -27536*1 -27308*1 -27252*1 -27248*1 -27240*2 -27180*1 -27176*1 -27136*1 -27132*1 -27096*1 -27036*1 -27032*1 -26980*2 -26968*1 -26836*1 -26832*1 -26812*1 -26704*1 -26676*1 -26612*1 -26568*1 -26464*1 -26388*1 -26328*1 -26200*2 -26068*1 -26012*1 -25964*1 -25948*1 -25920*1 -25836*1 -25812*1 -25748*1 -25732*1 -25708*1 -25676*1 -25660*1 -25652*1 -25400*1 -25192*3 -25144*1 -25096*1 -24732*1 -24700*1 -24564*1 -23828*2 -23584*1
27,0,-28736*1 -28408*1 -28392*1 -28344*1 -28256*1 -28204*1 -28184*1 -28064*1 -27916*1 -27780*1 -27768*1 -27660*1 -27536*1 -27524*1 -27308*1 -27252*1 -27248*1 -27240*2 -27180*1 -27176*1 -27148*1 -27136*1 -27132*1 -27096*1 -27036*1 -27032*1 -26980*2 -26968*1 -26832*1 -26812*1 -26808*1 -26612*1 -26568*1 -26468*1 -26464*1 -26328*1 -26200*2 -26152*1 -26068*1 -26012*2 -25968*1 -25964*1 -25920*1 -25836*1 -25812*1 -25748*1 -25732*1 -25708*1 -25676*1 -25652*1 -25400*1 -25304*1 -25192*3 -25144*1 -25096*1 -24976*1 -24732*1 -24700*1 -24564*1 -23828*1 -23584*2
28,0,-28524*1 -28380*1 -28344*1 -28256*1 -28204*1 -28184*1 -28064*1 -28008*1 -27916*1 -27780*1 -27660*1 -27536*1 -27524*1 -27320*1 -27308*1 -27252*1 -27248*1 -27240*2 -27180*1 -27176*1 -27136*1 -27132*1 -27104*1 -27096*1 -27036*1 -27032*1 -26980*1 -26968*1 -26832*1 -26812*1 -26808*1 -26612*1 -26568*1 -26468*1 -26336*1 -26328*1 -26200*2 -26152*1 -26012*2 -26004*1 -25920*1 -25812*1 -25748*1 -25744*1 -25652*1 -25516*1 -25464*1 -25416*1 -25400*1 -25372*1 -25304*1 -25212*1 -25192*3 -25168*1 -25144*1 -25096*1 -24732*1 -24700*1 -24332*1 -23828*1 -23584*3
29,0,-28524*1 -28380*1 -28344*1 -28256*1 -28204*1 -28064*1 -28008*1 -27948*1 -27916*1 -27660*1 -27536*1 -27524*1 -27320*1 -27308*1 -27248*1 -27240*2 -27176*1 -27104*1 -27096*1 -27036*2 -27032*1 -26980*1 -26968*1 -26832*1 -26812*1 -26652*1 -26612*2 -26596*1 -26372*1 -26336*1 -26328*1 -26200*2 -26152*1 -26012*1 -25996*1 -25992*1 -25920*1 -25900*1 -25824*1 -25812*1 -25764*1 -25748*1 -25744*1 -25652*1 -25516*1 -25464*1 -25416*1 -25400*1 -25372*1 -25304*1 -25212*1 -25192*3 -25144*1 -25096*1 -24732*1 -24700*1 -24504*1 -23916*1 -23584*4
