generation,continent,pool
21,1,-28832*1 -28648*1 -28564*1 -28504*1 -28488*1 -28436*3 -28320*1 -27992*1 -27968*1 -27956*1 -27932*1 -27872*1 -27812*1 -27772*1 -27768*1 -27748*1 -27724*1 -27712*2 -27660*1 -27624*1 -27616*1 -27568*1 -27424*1 -27412*1 -27360*1 -27328*1 -27272*1 -27224*1 -27128*1 -27072*1 -27000*1 -26940*1 -26848*2 -26840*1 -26720*1 -26704*1 -26616*1 -26580*1 -26512*1 -26504*1 -26432*1 -26396*1 -26348*1 -25924*1 -25856*1 -25804*1 -25772*1 -25736*1 -25516*1 -25472*1 -25424*1 -25408*1 -25368*1 -25268*1 -25248*1 -25108*1 -25080*1 -25056*1 -24824*1 -24716*1 -24484*1 -23952*1 -23748*1 7172*1
22,1,-28832*1 -28648*1 -28564*1 -28504*1 -28436*3 -28320*1 -28092*1 -27988*1 -27956*1 -27812*1 -27772*1 -27768*1 -27748*1 -27724*1 -27712*2 -27660*1 -27624*1 -27568*1 -27544*1 -27540*1 -27424*2 -27412*1 -27360*1 -27328*1 -27272*1 -27224*1 -27128*1 -27016*1 -27000*1 -26848*2 -26840*1 -26720*1 -26704*1 -26616*1 -26580*1 -26504*1 -26424*1 -26396*1 -26348*1 -25992*1 -25884*1 -25856*1 -25824*1 -25804*1 -25772*1 -25736*1 -25560*1 -25516*1 -25472*1 -25424*1 -25408*1 -25368*1 -25268*1 -25248*1 -25108*1 -25080*1 -25056*1 -24824*1 -23952*1 -23792*1 -23748*2 7172*1
23,1,-28648*1 -28564*1 -28504*1 -28436*2 -28380*1 -28336*1 -28320*1 -28092*1 -27956*1 -27772*1 -27768*1 -27748*1 -27724*1 -27712*3 -27660*1 -27568*1 -27544*1 -27540*1 -27424*2 -27412*1 -27360*1 -27328*1 -27224*1 -27016*1 -27008*1 -27000*1 -26872*1 -26852*1 -26848*2 -26840*1 -26724*1 -26720*1 -26704*1 -26616*1 -26580*1 -26424*1 -26396*1 -25992*1 -25856*1 -25836*1 -25824*1 -25804*1 -25792*1 -25784*1 -25736*1 -25516*1 -25472*1 -25424*1 -25408*1 -25368*1 -25268*1 -25248*1 -25204*1 -25124*1 -25108*1 -25080*1 -25056*1 -24248*1 -23952*1 -23792*1 -23748*2 7172*1
24,1,-28564*1 -28468*1 -28428*1 -28380*1 -28320*1 -28152*1 -28144*1 -28132*1 -28092*1 -27956*1 -27772*1 -27768*1 -27724*1 -27712*3 -27660*1 -27544*1 -27424*2 -27412*1 -27360*1 -27328*1 -27312*1 -27280*1 -27112*1 -27016*1 -27008*1 -27000*1 -26872*1 -26848*2 -26840*1 -26724*1 -26720*1 -26704*1 -26624*1 -26616*1 -26604*1 -26580*1 -26424*1 -25856*1 -25848*1 -25824*1 -25792*1 -25784*1 -25748*1 -25736*1 -25636*1 -25516*1 -25472*1 -25456*1 -25408*1 -25368*1 -25268*1 -25248*1 -25204*1 -25124*1 -25108*1 -25080*1 -25056*2 -24248*1 -23952*1 -23748*3 7172*1
25,1,-28428*1 -28380*1 -28232*1 -28152*1 -27956*2 -27800*1 -27780*1 -27772*1 -27724*1 -27712*3 -27684*1 -27660*1 -27584*1 -27544*1 -27456*1 -27424*2 -27412*1 -27328*1 -27312*1 -27280*1 -27112*1 -27008*1 -27000*1 -26848*2 -26804*1 -26728*1 -26720*1 -26704*2 -26624*1 -26616*1 -26604*1 -26428*1 -26424*1 -25972*1 -25876*1 -25856*1 -25848*1 -25824*1 -25792*1 -25784*1 -25748*1 -25636*1 -25604*1 -25516*1 -25472*1 -25456*1 -25408*1 -25368*1 -25268*1 -25248*1 -25204*1 -25124*1 -25108*1 -25080*1 -25056*2 -24248*1 -23952*1 -23748*3 7172*1
26,1,-28428*1 -28380*1 -28152*1 -28120*1 -27956*2 -27780*1 -27724*1 -27712*3 -27684*1 -27584*1 -27548*1 -27424*1 -27412*1 -27384*1 -27328*1 -27112*1 -27088*1 -27084*1 -27008*1 -27000*1 -26904*1 -26896*1 -26880*1 -26848*2 -26804*1 -26728*1 -26720*1 -26704*2 -26624*1 -26616*1 -26604*1 -26580*1 -26428*1 -26424*1 -25972*1 -25876*1 -25856*1 -25824*1 -25792*1 -25784*1 -25700*1 -25604*1 -25536*1 -25456*1 -25408*1 -25268*1 -25248*1 -25204*1 -25188*1 -25124*1 -25108*1 -25080*1 -25056*3 -24992*1 -24848*1 -24052*1 -23952*1 -23748*3 7172*1
27,1,-28380*1 -28300*1 -28152*1 -28120*1 -27956*2 -27780*1 -27724*1 -27712*3 -27548*1 -27424*1 -27384*1 -27328*1 -27212*1 -27112*1 -27088*1 -27084*1 -27056*1 -27040*1 -27008*1 -27000*1 -26904*1 -26880*1 -26848*2 -26804*1 -26728*1 -26704*1 -26624*1 -26616*1 -26604*1 -26580*1 -26500*1 -26428*1 -26160*1 -26012*1 -26004*1 -25972*1 -25876*1 -25856*1 -25792*1 -25700*1 -25632*1 -25604*1 -25536*1 -25456*1 -25312*1 -25268*1 -25248*1 -25204*1 -25108*1 -25080*1 -25056*3 -24848*2 -24792*1 -24684*1 -24360*1 -23952*1 -23748*4 7172*1
28,1,-28300*1 -28236*1 -28136*1 -28120*1 -27956*2 -27780*1 -27724*1 -27712*3 -27548*1 -27424*1 -27212*1 -27192*1 -27112*1 -27088*1 -27056*1 -27040*1 -27028*1 -27008*1 -27000*1 -26992*1 -26904*1 -26880*1 -26848*2 -26728*1 -26704*1 -26624*1 -26616*1 -26604*1 -26580*1 -26552*1 -26500*1 -26428*1 -26160*1 -26012*1 -26004*1 -25972*1 -25856*1 -25768*1 -25700*1 -25680*1 -25632*1 -25604*1 -25536*1 -25312*1 -25268*1 -25204*1 -25180*1 -25104*1 -25056*2 -24820*1 -24792*1 -24740*1 -24692*1 -24684*1 -24536*1 -24360*1 -24068*1 -23952*1 -23748*4 7172*1
29,1,-28136*1 -28124*1 -28120*1 -28004*1 -27956*2 -27780*1 -27712*3 -27692*1 -27548*1 -27192*1 -27124*1 -27112*1 -27056*1 -27040*1 -27028*1 -27008*1 -27000*1 -26992*1 -26984*1 -26904*1 -26880*1 -26848*2 -26728*1 -26704*1 -26648*1 -26616*1 -26604*1 -26580*1 -26552*1 -26480*1 -26428*1 -26160*1 -26004*1 -25972*1 -25856*1 -25804*1 -25792*1 -25700*1 -25632*1 -25604*1 -25536*1 -25472*1 -25436*1 -25312*1 -25268*1 -25204*1 -25136*1 -25056*2 -24792*1 -24740*1 -24692*1 -24684*1 -24536*1 -24516*2 -24360*1 -24068*1 -23748*4 -22992*1 7172*1
30,1,-28124*1 -28120*1 -27956*1 -27780*1 -27712*3 -27692*1 -27548*1 -27508*1 -27360*1 -27192*1 -27168*1 -27124*1 -27112*1 -27056*1 -27040*1 -27028*1 -27008*1 -27000*1 -26992*1 -26984*1 -26880*1 -26848*2 -26728*1 -26648*1 -26616*1 -26604*1 -26580*1 -26552*1 -26480*1 -26404*1 -26160*1 -26036*1 -26004*1 -25992*1 -25972*1 -25804*1 -25792*1 -25700*1 -25632*1 -25604*1 -25536*1 -25472*1 -25436*1 -25312*1 -25268*1 -25204*1 -25136*1 -25084*1 -25056*2 -24740*1 -24692*1 -24536*2 -24516*1 -24360*1 -24068*1 -23924*1 -23848*1 -23748*4 -22392*1 7172*1
